===== OD_Box_A =====
Experiment ID        01
Flask Size(ml)       S 100 
Shake Stroke(mm)     25
Shake Speed(r/min)   250
Interval(min)        001
Auto Recording       To PC           
Correct : 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 
Alarm OD: 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 

Date hh:mm:ss, Hour:Min,OD_01, OD_02, OD_03, OD_04, OD_05, OD_06, OD_07, OD_08, 
2020/11/10 17:49:34, 0000:27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:50:34, 0000:28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:51:34, 0000:29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:52:34, 0000:30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:53:34, 0000:31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:54:34, 0000:32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:55:34, 0000:33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:56:34, 0000:34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:57:34, 0000:35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:58:34, 0000:36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:26:32, 0001:04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:27:32, 0001:05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:28:32, 0001:06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:29:32, 0001:07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:30:32, 0001:08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:31:32, 0001:09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:32:32, 0001:10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:33:32, 0001:11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:34:32, 0001:12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:35:32, 0001:13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:36:32, 0001:14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:37:32, 0001:15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:38:32, 0001:16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:39:32, 0001:17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:40:32, 0001:18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:41:32, 0001:19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:42:32, 0001:20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:43:32, 0001:21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:44:32, 0001:22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:45:32, 0001:23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:46:32, 0001:24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:47:32, 0001:25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:48:32, 0001:26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:49:31, 0001:27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:50:31, 0001:28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:51:31, 0001:29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:52:31, 0001:30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:53:31, 0001:31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:54:31, 0001:32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:55:31, 0001:33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:56:31, 0001:34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:57:31, 0001:35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:58:31, 0001:36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 18:59:31, 0001:37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:00:31, 0001:38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:01:31, 0001:39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:02:31, 0001:40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:03:31, 0001:41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:04:31, 0001:42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:05:31, 0001:43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:06:31, 0001:44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:07:31, 0001:45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:08:31, 0001:46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:09:31, 0001:47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:10:31, 0001:48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:11:31, 0001:49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:12:31, 0001:50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:13:31, 0001:51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:14:31, 0001:52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:15:31, 0001:53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:16:31, 0001:54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:17:31, 0001:55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:18:30, 0001:56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:19:30, 0001:57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:20:30, 0001:58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:21:30, 0001:59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:22:30, 0002:00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:23:30, 0002:01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:24:30, 0002:02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:25:30, 0002:03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:26:30, 0002:04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:27:30, 0002:05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:28:30, 0002:06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:29:30, 0002:07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:30:30, 0002:08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:31:30, 0002:09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:32:30, 0002:10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:33:30, 0002:11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 19:34:30, 0002:12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
